Time_s,Target_X_m,Target_Y_m,Current_X_m,Current_Y_m,Error_X_m,Error_Y_m,Error_Dist_m,PID_Out_X,PID_Out_Y,Normal_X,Normal_Y,Normal_Z,Tilt_Angle_deg,Centered
5.3385,0.0000,0.0000,0.1163,0.3231,-0.1163,-0.3231,0.3434,-1.4949,-4.1515,-0.0296,-0.0820,0.9962,5.00,0
5.3868,0.0000,0.0000,0.1135,0.3143,-0.1135,-0.3143,0.3341,-0.0341,-0.0860,-0.0321,-0.0810,0.9962,5.00,0
5.4194,0.0000,0.0000,0.1164,0.2968,-0.1164,-0.2968,0.3188,-0.0945,0.0640,-0.0722,0.0489,0.9962,5.00,0
5.4503,0.0000,0.0000,0.1114,0.2689,-0.1114,-0.2689,0.2911,0.0076,0.2222,0.0030,0.0871,0.9962,5.00,0
5.4821,0.0000,0.0000,0.1077,0.2469,-0.1077,-0.2469,0.2694,-0.0085,0.1488,-0.0050,0.0870,0.9962,5.00,0
5.5148,0.0000,0.0000,0.1041,0.2305,-0.1041,-0.2305,0.2529,-0.0099,0.0813,-0.0099,0.0812,0.9966,4.69,0
5.5457,0.0000,0.0000,0.1001,0.2134,-0.1001,-0.2134,0.2357,-0.0007,0.1101,-0.0005,0.0872,0.9962,5.00,0
5.5773,0.0000,0.0000,0.0970,0.1996,-0.0970,-0.1996,0.2219,-0.0110,0.0695,-0.0110,0.0695,0.9975,4.03,0
5.6103,0.0000,0.0000,0.0984,0.1908,-0.0984,-0.1908,0.2147,-0.0691,0.0048,-0.0691,0.0048,0.9976,3.97,0
5.6422,0.0000,0.0000,0.0982,0.1834,-0.0982,-0.1834,0.2081,-0.0494,-0.0050,-0.0493,-0.0050,0.9988,2.84,0
5.6742,0.0000,0.0000,0.0968,0.1720,-0.0968,-0.1720,0.1973,-0.0337,0.0505,-0.0337,0.0505,0.9982,3.48,0
5.7246,0.0000,0.0000,0.0989,0.1671,-0.0989,-0.1671,0.1942,-0.0694,-0.0522,-0.0693,-0.0522,0.9962,4.98,0
5.7545,0.0000,0.0000,0.0997,0.1624,-0.0997,-0.1624,0.1906,-0.0641,-0.0266,-0.0641,-0.0266,0.9976,3.98,0
5.7871,0.0000,0.0000,0.1004,0.1616,-0.1004,-0.1616,0.1903,-0.0629,-0.0789,-0.0544,-0.0682,0.9962,5.00,0
5.8213,0.0000,0.0000,0.1097,0.1781,-0.1097,-0.1781,0.2092,-0.1672,-0.2907,-0.0435,-0.0756,0.9962,5.00,0
5.8528,0.0000,0.0000,0.1134,0.1791,-0.1134,-0.1791,0.2120,-0.1111,-0.1122,-0.0614,-0.0620,0.9962,5.00,0
5.8822,0.0000,0.0000,0.1158,0.1775,-0.1158,-0.1775,0.2120,-0.0931,-0.0782,-0.0667,-0.0561,0.9962,5.00,0
5.9153,0.0000,0.0000,0.1174,0.1793,-0.1174,-0.1793,0.2144,-0.0836,-0.1209,-0.0496,-0.0717,0.9962,5.00,0
5.9499,0.0000,0.0000,0.1171,0.1806,-0.1171,-0.1806,0.2152,-0.0599,-0.1148,-0.0404,-0.0773,0.9962,5.00,0
5.9833,0.0000,0.0000,0.1097,0.1738,-0.1097,-0.1738,0.2056,0.0344,-0.0118,0.0344,-0.0118,0.9993,2.08,0
6.0138,0.0000,0.0000,0.1077,0.1726,-0.1077,-0.1726,0.2034,-0.0353,-0.0821,-0.0345,-0.0801,0.9962,5.00,0
6.0452,0.0000,0.0000,0.1053,0.1708,-0.1053,-0.1708,0.2006,-0.0280,-0.0738,-0.0280,-0.0737,0.9969,4.52,0
6.0775,0.0000,0.0000,0.1038,0.1674,-0.1038,-0.1674,0.1969,-0.0388,-0.0536,-0.0388,-0.0535,0.9978,3.79,0
6.1259,0.0000,0.0000,0.1017,0.1631,-0.1017,-0.1631,0.1922,-0.0390,-0.0568,-0.0390,-0.0568,0.9976,3.95,0
6.1579,0.0000,0.0000,0.0981,0.1604,-0.0981,-0.1604,0.1880,-0.0144,-0.0612,-0.0144,-0.0612,0.9980,3.60,0
6.1898,0.0000,0.0000,0.0953,0.1538,-0.0953,-0.1538,0.1809,-0.0199,-0.0075,-0.0199,-0.0075,0.9998,1.22,0
6.2192,0.0000,0.0000,0.0909,0.1488,-0.0909,-0.1488,0.1743,0.0073,-0.0198,0.0073,-0.0198,0.9998,1.21,0
6.2556,0.0000,0.0000,0.0864,0.1407,-0.0864,-0.1407,0.1651,0.0016,0.0089,0.0016,0.0089,1.0000,0.52,0
6.2823,0.0000,0.0000,0.0818,0.1337,-0.0818,-0.1337,0.1567,0.0157,0.0170,0.0157,0.0170,0.9997,1.33,0
6.3136,0.0000,0.0000,0.0766,0.1262,-0.0766,-0.1262,0.1476,0.0200,0.0189,0.0199,0.0189,0.9996,1.57,0
6.3478,0.0000,0.0000,0.0715,0.1168,-0.0715,-0.1168,0.1369,0.0164,0.0366,0.0164,0.0366,0.9992,2.30,0
6.3802,0.0000,0.0000,0.0659,0.1077,-0.0659,-0.1077,0.1262,0.0277,0.0432,0.0277,0.0432,0.9987,2.94,0
6.4107,0.0000,0.0000,0.0601,0.0989,-0.0601,-0.0989,0.1157,0.0385,0.0509,0.0385,0.0509,0.9980,3.66,0
6.4428,0.0000,0.0000,0.0546,0.0902,-0.0546,-0.0902,0.1054,0.0324,0.0469,0.0324,0.0469,0.9984,3.27,0
6.4783,0.0000,0.0000,0.0494,0.0814,-0.0494,-0.0814,0.0952,0.0252,0.0435,0.0252,0.0435,0.9987,2.88,0
6.5283,0.0000,0.0000,0.0441,0.0717,-0.0441,-0.0717,0.0842,0.0112,0.0252,0.0112,0.0251,0.9996,1.58,0
6.5596,0.0000,0.0000,0.0386,0.0633,-0.0386,-0.0633,0.0741,0.0422,0.0603,0.0422,0.0603,0.9973,4.22,0
6.5909,0.0000,0.0000,0.0341,0.0571,-0.0341,-0.0571,0.0665,0.0318,0.0344,0.0318,0.0344,0.9989,2.69,0
6.6234,0.0000,0.0000,0.0296,0.0497,-0.0296,-0.0497,0.0579,0.0350,0.0547,0.0350,0.0547,0.9979,3.72,0
6.6524,0.0000,0.0000,0.0260,0.0426,-0.0260,-0.0426,0.0499,0.0255,0.0540,0.0255,0.0540,0.9982,3.42,0
6.6821,0.0000,0.0000,0.0223,0.0359,-0.0223,-0.0359,0.0423,0.0296,0.0553,0.0296,0.0553,0.9980,3.59,0
6.7170,0.0000,0.0000,0.0193,0.0292,-0.0193,-0.0292,0.0349,0.0155,0.0465,0.0154,0.0465,0.9988,2.81,0
6.7465,0.0000,0.0000,0.0167,0.0235,-0.0167,-0.0235,0.0288,0.0171,0.0481,0.0171,0.0481,0.9987,2.93,0
6.7774,0.0000,0.0000,0.0150,0.0178,-0.0150,-0.0178,0.0233,0.0054,0.0483,0.0054,0.0482,0.9988,2.78,0
6.8173,0.0000,0.0000,0.0132,0.0143,-0.0132,-0.0143,0.0195,0.0029,0.0129,0.0029,0.0129,0.9999,0.76,0
6.8458,0.0000,0.0000,0.0117,0.0100,-0.0117,-0.0100,0.0154,0.0052,0.0352,0.0052,0.0352,0.9994,2.04,0
6.8761,0.0000,0.0000,0.0102,0.0069,-0.0102,-0.0069,0.0123,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
6.9246,0.0000,0.0000,0.0093,0.0038,-0.0093,-0.0038,0.0100,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
6.9555,0.0000,0.0000,0.0090,0.0013,-0.0090,-0.0013,0.0091,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
6.9880,0.0000,0.0000,0.0086,-0.0006,-0.0086,0.0006,0.0086,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.0179,0.0000,0.0000,0.0084,-0.0014,-0.0084,0.0014,0.0086,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.0494,0.0000,0.0000,0.0084,-0.0015,-0.0084,0.0015,0.0085,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.0846,0.0000,0.0000,0.0084,-0.0015,-0.0084,0.0015,0.0085,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.1146,0.0000,0.0000,0.0085,-0.0021,-0.0085,0.0021,0.0087,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.1471,0.0000,0.0000,0.0089,-0.0012,-0.0089,0.0012,0.0090,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.1780,0.0000,0.0000,0.0091,-0.0012,-0.0091,0.0012,0.0092,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.2104,0.0000,0.0000,0.0096,-0.0000,-0.0096,0.0000,0.0096,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.2420,0.0000,0.0000,0.0099,0.0013,-0.0099,-0.0013,0.0100,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.2852,0.0000,0.0000,0.0105,0.0029,-0.0105,-0.0029,0.0109,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.3213,0.0000,0.0000,0.0113,0.0039,-0.0113,-0.0039,0.0120,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.3526,0.0000,0.0000,0.0126,0.0057,-0.0126,-0.0057,0.0139,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
7.3868,0.0000,0.0000,0.0138,0.0074,-0.0138,-0.0074,0.0156,-0.0402,0.0096,-0.0402,0.0096,0.9991,2.37,0
7.4174,0.0000,0.0000,0.0152,0.0094,-0.0152,-0.0094,0.0179,-0.0364,-0.0476,-0.0363,-0.0476,0.9982,3.43,0
7.4518,0.0000,0.0000,0.0173,0.0105,-0.0173,-0.0105,0.0202,-0.0418,-0.0356,-0.0418,-0.0356,0.9985,3.15,0
7.4847,0.0000,0.0000,0.0187,0.0127,-0.0187,-0.0127,0.0226,-0.0361,-0.0494,-0.0361,-0.0494,0.9981,3.51,0
7.5148,0.0000,0.0000,0.0210,0.0146,-0.0210,-0.0146,0.0256,-0.0499,-0.0504,-0.0499,-0.0504,0.9975,4.07,0
7.5502,0.0000,0.0000,0.0226,0.0168,-0.0226,-0.0168,0.0281,-0.0391,-0.0493,-0.0391,-0.0493,0.9980,3.61,0
7.5777,0.0000,0.0000,0.0246,0.0191,-0.0246,-0.0191,0.0312,-0.0517,-0.0613,-0.0517,-0.0612,0.9968,4.60,0
7.6092,0.0000,0.0000,0.0257,0.0193,-0.0257,-0.0193,0.0322,-0.0363,-0.0295,-0.0363,-0.0295,0.9989,2.68,0
7.6413,0.0000,0.0000,0.0272,0.0214,-0.0272,-0.0214,0.0346,-0.0417,-0.0532,-0.0417,-0.0531,0.9977,3.87,0
7.6761,0.0000,0.0000,0.0281,0.0240,-0.0281,-0.0240,0.0370,-0.0339,-0.0598,-0.0339,-0.0597,0.9976,3.94,0
7.7228,0.0000,0.0000,0.0285,0.0237,-0.0285,-0.0237,0.0371,-0.0280,-0.0263,-0.0280,-0.0263,0.9993,2.20,0
7.7572,0.0000,0.0000,0.0286,0.0238,-0.0286,-0.0238,0.0372,-0.0251,-0.0305,-0.0251,-0.0305,0.9992,2.26,0
7.7889,0.0000,0.0000,0.0288,0.0232,-0.0288,-0.0232,0.0370,-0.0265,-0.0220,-0.0265,-0.0220,0.9994,1.97,0
7.8174,0.0000,0.0000,0.0281,0.0221,-0.0281,-0.0221,0.0357,-0.0148,-0.0119,-0.0148,-0.0119,0.9998,1.09,0
7.8524,0.0000,0.0000,0.0272,0.0196,-0.0272,-0.0196,0.0335,-0.0132,0.0006,-0.0132,0.0006,0.9999,0.76,0
7.8853,0.0000,0.0000,0.0256,0.0159,-0.0256,-0.0159,0.0301,-0.0037,0.0195,-0.0037,0.0195,0.9998,1.14,0
7.9144,0.0000,0.0000,0.0239,0.0129,-0.0239,-0.0129,0.0271,0.0017,0.0175,0.0017,0.0175,0.9998,1.01,0
7.9462,0.0000,0.0000,0.0218,0.0101,-0.0218,-0.0101,0.0240,0.0053,0.0127,0.0053,0.0127,0.9999,0.79,0
7.9782,0.0000,0.0000,0.0205,0.0060,-0.0205,-0.0060,0.0214,-0.0054,0.0300,-0.0054,0.0300,0.9995,1.75,0
8.0095,0.0000,0.0000,0.0180,0.0022,-0.0180,-0.0022,0.0182,0.0127,0.0302,0.0127,0.0302,0.9995,1.87,0
8.0417,0.0000,0.0000,0.0161,0.0004,-0.0161,-0.0004,0.0161,0.0051,0.0045,0.0051,0.0045,1.0000,0.39,0
8.0764,0.0000,0.0000,0.0132,-0.0042,-0.0132,0.0042,0.0139,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
8.1223,0.0000,0.0000,0.0106,-0.0078,-0.0106,0.0078,0.0132,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
8.1556,0.0000,0.0000,0.0079,-0.0119,-0.0079,0.0119,0.0143,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
8.1856,0.0000,0.0000,0.0058,-0.0161,-0.0058,0.0161,0.0171,0.1248,0.2103,0.0445,0.0750,0.9962,5.00,0
8.2180,0.0000,0.0000,0.0033,-0.0195,-0.0033,0.0195,0.0198,0.0178,0.0340,0.0178,0.0340,0.9993,2.20,0
8.2498,0.0000,0.0000,0.0014,-0.0219,-0.0014,0.0219,0.0219,0.0141,0.0236,0.0141,0.0236,0.9996,1.57,0
8.2850,0.0000,0.0000,-0.0010,-0.0237,0.0010,0.0237,0.0237,0.0164,0.0152,0.0164,0.0152,0.9997,1.28,0
8.3138,0.0000,0.0000,-0.0027,-0.0242,0.0027,0.0242,0.0244,0.0142,0.0025,0.0142,0.0025,0.9999,0.83,0
8.3464,0.0000,0.0000,-0.0041,-0.0255,0.0041,0.0255,0.0258,0.0091,0.0108,0.0091,0.0108,0.9999,0.81,0
8.3783,0.0000,0.0000,-0.0046,-0.0273,0.0046,0.0273,0.0277,-0.0020,0.0194,-0.0020,0.0194,0.9998,1.12,0
8.4144,0.0000,0.0000,-0.0072,-0.0286,0.0072,0.0286,0.0295,0.0228,0.0105,0.0228,0.0105,0.9997,1.44,0
8.4412,0.0000,0.0000,-0.0083,-0.0291,0.0083,0.0291,0.0303,0.0096,0.0055,0.0096,0.0055,0.9999,0.64,0
8.4746,0.0000,0.0000,-0.0086,-0.0296,0.0086,0.0296,0.0309,-0.0027,0.0044,-0.0027,0.0044,1.0000,0.30,0
8.5234,0.0000,0.0000,-0.0083,-0.0297,0.0083,0.0297,0.0308,-0.0089,-0.0016,-0.0089,-0.0016,1.0000,0.52,0
8.5536,0.0000,0.0000,-0.0071,-0.0296,0.0071,0.0296,0.0305,-0.0226,-0.0030,-0.0226,-0.0030,0.9997,1.31,0
8.5876,0.0000,0.0000,-0.0044,-0.0291,0.0044,0.0291,0.0294,-0.0420,-0.0088,-0.0419,-0.0088,0.9991,2.46,0
8.6171,0.0000,0.0000,-0.0032,-0.0279,0.0032,0.0279,0.0281,-0.0237,-0.0179,-0.0237,-0.0179,0.9996,1.70,0
8.6524,0.0000,0.0000,-0.0024,-0.0279,0.0024,0.0279,0.0280,-0.0180,-0.0029,-0.0180,-0.0029,0.9998,1.04,0
8.6851,0.0000,0.0000,-0.0010,-0.0274,0.0010,0.0274,0.0274,-0.0264,-0.0090,-0.0264,-0.0090,0.9996,1.60,0
8.7146,0.0000,0.0000,0.0009,-0.0261,-0.0009,0.0261,0.0261,-0.0368,-0.0217,-0.0368,-0.0217,0.9991,2.45,0
8.7478,0.0000,0.0000,0.0026,-0.0242,-0.0026,0.0242,0.0243,-0.0325,-0.0272,-0.0325,-0.0272,0.9991,2.43,0
8.7799,0.0000,0.0000,0.0038,-0.0236,-0.0038,0.0236,0.0239,-0.0273,-0.0122,-0.0273,-0.0122,0.9996,1.71,0
8.8099,0.0000,0.0000,0.0060,-0.0219,-0.0060,0.0219,0.0227,-0.0418,-0.0270,-0.0418,-0.0270,0.9988,2.85,0
8.8418,0.0000,0.0000,0.0067,-0.0204,-0.0067,0.0204,0.0215,-0.0230,-0.0250,-0.0230,-0.0250,0.9994,1.95,0
8.8744,0.0000,0.0000,0.0077,-0.0184,-0.0077,0.0184,0.0199,-0.0268,-0.0323,-0.0268,-0.0323,0.9991,2.40,0
8.9250,0.0000,0.0000,0.0083,-0.0173,-0.0083,0.0173,0.0192,-0.0188,-0.0161,-0.0188,-0.0161,0.9997,1.42,0
8.9538,0.0000,0.0000,0.0084,-0.0159,-0.0084,0.0159,0.0180,-0.0163,-0.0275,-0.0163,-0.0275,0.9995,1.83,0
8.9870,0.0000,0.0000,0.0094,-0.0143,-0.0094,0.0143,0.0172,-0.0278,-0.0282,-0.0278,-0.0282,0.9992,2.27,0
9.0198,0.0000,0.0000,0.0093,-0.0132,-0.0093,0.0132,0.0162,-0.0138,-0.0228,-0.0138,-0.0228,0.9996,1.53,0
9.0509,0.0000,0.0000,0.0090,-0.0132,-0.0090,0.0132,0.0160,-0.0111,-0.0104,-0.0111,-0.0104,0.9999,0.87,0
9.0814,0.0000,0.0000,0.0085,-0.0122,-0.0085,0.0122,0.0149,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.1140,0.0000,0.0000,0.0079,-0.0113,-0.0079,0.0113,0.0138,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.1458,0.0000,0.0000,0.0072,-0.0104,-0.0072,0.0104,0.0126,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.1801,0.0000,0.0000,0.0054,-0.0111,-0.0054,0.0111,0.0124,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.2103,0.0000,0.0000,0.0037,-0.0112,-0.0037,0.0112,0.0118,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.2445,0.0000,0.0000,0.0021,-0.0114,-0.0021,0.0114,0.0116,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.2769,0.0000,0.0000,0.0010,-0.0113,-0.0010,0.0113,0.0114,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.3273,0.0000,0.0000,-0.0003,-0.0118,0.0003,0.0118,0.0118,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.3535,0.0000,0.0000,-0.0005,-0.0123,0.0005,0.0123,0.0123,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.3860,0.0000,0.0000,-0.0010,-0.0116,0.0010,0.0116,0.0116,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.4177,0.0000,0.0000,-0.0010,-0.0116,0.0010,0.0116,0.0116,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
9.4520,0.0000,0.0000,-0.0005,-0.0114,0.0005,0.0114,0.0114,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
