Time_s,Target_X_m,Target_Y_m,Current_X_m,Current_Y_m,Error_X_m,Error_Y_m,Error_Dist_m,PID_Out_X,PID_Out_Y,Normal_X,Normal_Y,Normal_Z,Tilt_Angle_deg,Centered
1.1182,0.0000,0.0000,0.2976,0.0818,-0.2976,-0.0818,0.3086,-1.3414,-0.3688,-0.0840,-0.0231,0.9962,5.00,0
1.3238,0.0000,0.0000,0.2970,0.0816,-0.2970,-0.0816,0.3081,-0.1507,-0.0414,-0.0841,-0.0231,0.9962,5.00,0
1.5241,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.1635,-0.0452,-0.0840,-0.0232,0.9962,5.00,0
1.7269,0.0000,0.0000,0.2993,0.0823,-0.2993,-0.0823,0.3104,-0.1602,-0.0441,-0.0840,-0.0232,0.9962,5.00,0
1.9280,0.0000,0.0000,0.2991,0.0823,-0.2991,-0.0823,0.3102,-0.1599,-0.0440,-0.0840,-0.0231,0.9962,5.00,0
2.1287,0.0000,0.0000,0.2991,0.0823,-0.2991,-0.0823,0.3102,-0.1630,-0.0448,-0.0840,-0.0231,0.9962,5.00,0
2.3514,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.1644,-0.0452,-0.0840,-0.0231,0.9962,5.00,0
2.5380,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.1674,-0.0460,-0.0840,-0.0231,0.9962,5.00,0
2.7391,0.0000,0.0000,0.2993,0.0823,-0.2993,-0.0823,0.3104,-0.1714,-0.0472,-0.0840,-0.0232,0.9962,5.00,0
2.9533,0.0000,0.0000,0.2993,0.0823,-0.2993,-0.0823,0.3104,-0.1720,-0.0473,-0.0840,-0.0231,0.9962,5.00,0
3.1506,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.1692,-0.0464,-0.0841,-0.0231,0.9962,5.00,0
3.3565,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.1792,-0.0494,-0.0840,-0.0232,0.9962,5.00,0
3.5615,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3093,-0.1755,-0.0482,-0.0841,-0.0231,0.9962,5.00,0
3.7647,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3093,-0.1805,-0.0496,-0.0840,-0.0231,0.9962,5.00,0
3.9664,0.0000,0.0000,0.2993,0.0823,-0.2993,-0.0823,0.3104,-0.1876,-0.0517,-0.0840,-0.0232,0.9962,5.00,0
4.1736,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.1804,-0.0495,-0.0841,-0.0231,0.9962,5.00,0
4.3813,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.1871,-0.0515,-0.0840,-0.0231,0.9962,5.00,0
4.5803,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.1926,-0.0531,-0.0840,-0.0232,0.9962,5.00,0
4.7792,0.0000,0.0000,0.2992,0.0823,-0.2992,-0.0823,0.3103,-0.1934,-0.0532,-0.0840,-0.0232,0.9962,5.00,0
4.9839,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.1898,-0.0521,-0.0841,-0.0231,0.9962,5.00,0
5.1930,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3093,-0.1963,-0.0540,-0.0840,-0.0231,0.9962,5.00,0
5.3927,0.0000,0.0000,0.2976,0.0818,-0.2976,-0.0818,0.3086,-0.1957,-0.0537,-0.0841,-0.0231,0.9962,5.00,0
5.5953,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3093,-0.2030,-0.0559,-0.0840,-0.0232,0.9962,5.00,0
5.7986,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.2059,-0.0567,-0.0840,-0.0232,0.9962,5.00,0
5.9977,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.2054,-0.0565,-0.0840,-0.0231,0.9962,5.00,0
6.2033,0.0000,0.0000,0.2976,0.0818,-0.2976,-0.0818,0.3086,-0.2019,-0.0554,-0.0841,-0.0231,0.9962,5.00,0
6.4038,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3093,-0.2119,-0.0584,-0.0840,-0.0232,0.9962,5.00,0
6.6059,0.0000,0.0000,0.2993,0.0823,-0.2993,-0.0823,0.3104,-0.2167,-0.0597,-0.0840,-0.0232,0.9962,5.00,0
6.8034,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3093,-0.2097,-0.0575,-0.0841,-0.0231,0.9962,5.00,0
7.0063,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.2161,-0.0594,-0.0840,-0.0231,0.9962,5.00,0
7.2087,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.2217,-0.0611,-0.0840,-0.0232,0.9962,5.00,0
7.4098,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.2178,-0.0598,-0.0841,-0.0231,0.9962,5.00,0
7.6170,0.0000,0.0000,0.2965,0.0815,-0.2965,-0.0815,0.3075,-0.2154,-0.0590,-0.0841,-0.0231,0.9962,5.00,0
7.8227,0.0000,0.0000,0.2970,0.0816,-0.2970,-0.0816,0.3081,-0.2269,-0.0624,-0.0840,-0.0232,0.9962,5.00,0
8.0213,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.2351,-0.0649,-0.0840,-0.0232,0.9962,5.00,0
8.2232,0.0000,0.0000,0.2976,0.0818,-0.2976,-0.0818,0.3086,-0.2242,-0.0615,-0.0841,-0.0231,0.9962,5.00,0
8.4258,0.0000,0.0000,0.2991,0.0823,-0.2991,-0.0823,0.3102,-0.2382,-0.0657,-0.0840,-0.0232,0.9962,5.00,0
8.6262,0.0000,0.0000,0.2991,0.0823,-0.2991,-0.0823,0.3102,-0.2346,-0.0645,-0.0840,-0.0231,0.9962,5.00,0
8.8241,0.0000,0.0000,0.2992,0.0823,-0.2992,-0.0823,0.3103,-0.2374,-0.0653,-0.0840,-0.0231,0.9962,5.00,0
9.0277,0.0000,0.0000,0.2991,0.0823,-0.2991,-0.0823,0.3102,-1.2284,-0.3379,-0.0840,-0.0231,0.9962,5.00,0
9.2315,0.0000,0.0000,0.2992,0.0823,-0.2992,-0.0823,0.3103,-0.0349,-0.0096,-0.0349,-0.0096,0.9993,2.07,0
9.4323,0.0000,0.0000,0.2993,0.0823,-0.2993,-0.0823,0.3104,-0.0370,-0.0102,-0.0370,-0.0102,0.9993,2.20,0
9.6365,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0373,-0.0102,-0.0373,-0.0102,0.9993,2.21,0
9.8428,0.0000,0.0000,0.2993,0.0823,-0.2993,-0.0823,0.3104,-0.0427,-0.0118,-0.0427,-0.0118,0.9990,2.54,0
10.0460,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0417,-0.0114,-0.0417,-0.0114,0.9991,2.48,0
10.2503,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0456,-0.0125,-0.0456,-0.0125,0.9989,2.71,0
10.4528,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0478,-0.0132,-0.0478,-0.0132,0.9988,2.84,0
10.6516,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0501,-0.0138,-0.0501,-0.0138,0.9987,2.98,0
10.8568,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0523,-0.0144,-0.0523,-0.0144,0.9985,3.11,0
11.0602,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.0516,-0.0141,-0.0516,-0.0141,0.9986,3.06,0
11.2582,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0597,-0.0165,-0.0596,-0.0165,0.9981,3.55,0
11.4599,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0590,-0.0162,-0.0590,-0.0162,0.9981,3.51,0
11.6627,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0613,-0.0169,-0.0612,-0.0169,0.9980,3.64,0
11.8621,0.0000,0.0000,0.2993,0.0823,-0.2993,-0.0823,0.3104,-0.0652,-0.0180,-0.0651,-0.0180,0.9977,3.87,0
12.0610,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0642,-0.0176,-0.0641,-0.0176,0.9978,3.81,0
12.2604,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0680,-0.0187,-0.0679,-0.0187,0.9975,4.04,0
12.4648,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.0673,-0.0184,-0.0672,-0.0184,0.9976,4.00,0
12.6653,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0754,-0.0208,-0.0753,-0.0208,0.9969,4.48,0
12.8709,0.0000,0.0000,0.2996,0.0824,-0.2996,-0.0824,0.3107,-0.0776,-0.0214,-0.0775,-0.0214,0.9968,4.61,0
13.0712,0.0000,0.0000,0.2996,0.0824,-0.2996,-0.0824,0.3107,-0.0770,-0.0212,-0.0770,-0.0212,0.9968,4.58,0
13.2775,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0764,-0.0209,-0.0763,-0.0209,0.9969,4.54,0
13.4806,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0815,-0.0224,-0.0814,-0.0224,0.9964,4.84,0
13.6844,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.0807,-0.0221,-0.0806,-0.0221,0.9965,4.80,0
13.8870,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0888,-0.0245,-0.0840,-0.0232,0.9962,5.00,0
14.0870,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0882,-0.0243,-0.0840,-0.0231,0.9962,5.00,0
14.2902,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0904,-0.0249,-0.0840,-0.0231,0.9962,5.00,0
14.5009,0.0000,0.0000,0.2987,0.0822,-0.2987,-0.0822,0.3098,-0.0920,-0.0253,-0.0840,-0.0231,0.9962,5.00,0
14.7003,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0955,-0.0263,-0.0840,-0.0232,0.9962,5.00,0
14.9045,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0971,-0.0267,-0.0840,-0.0231,0.9962,5.00,0
15.1031,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.0994,-0.0273,-0.0840,-0.0231,0.9962,5.00,0
15.3082,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.1016,-0.0280,-0.0840,-0.0231,0.9962,5.00,0
15.5143,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.1039,-0.0286,-0.0840,-0.0231,0.9962,5.00,0
15.7157,0.0000,0.0000,0.2982,0.0820,-0.2982,-0.0820,0.3092,-0.1031,-0.0283,-0.0841,-0.0231,0.9962,5.00,0
15.9180,0.0000,0.0000,0.2989,0.0822,-0.2989,-0.0822,0.3100,-0.1112,-0.0307,-0.0840,-0.0232,0.9962,5.00,0
