Time_s,Target_X_m,Target_Y_m,Current_X_m,Current_Y_m,Error_X_m,Error_Y_m,Error_Dist_m,PID_Out_X,PID_Out_Y,Normal_X,Normal_Y,Normal_Z,Tilt_Angle_deg,Centered
3.9532,0.0000,0.0000,0.0681,0.2925,-0.0681,-0.2925,0.3003,-0.3069,-1.3182,-0.0198,-0.0849,0.9962,5.00,0
4.1559,0.0000,0.0000,0.0513,0.2160,-0.0513,-0.2160,0.2221,0.0404,0.1938,0.0178,0.0853,0.9962,5.00,0
4.3600,0.0000,0.0000,0.0478,0.1920,-0.0478,-0.1920,0.1978,-0.0112,-0.0049,-0.0112,-0.0049,0.9999,0.70,0
4.5674,0.0000,0.0000,0.0425,0.1873,-0.0425,-0.1873,0.1921,-0.0016,-0.0816,-0.0016,-0.0815,0.9967,4.68,0
4.7647,0.0000,0.0000,0.0432,0.1836,-0.0432,-0.1836,0.1887,-0.0262,-0.0853,-0.0256,-0.0833,0.9962,5.00,0
4.9731,0.0000,0.0000,0.0488,0.1586,-0.0488,-0.1586,0.1659,-0.0491,0.0117,-0.0491,0.0117,0.9987,2.89,0
5.1727,0.0000,0.0000,0.0506,0.1046,-0.0506,-0.1046,0.1162,-0.0349,0.1536,-0.0193,0.0850,0.9962,5.00,0
5.3774,0.0000,0.0000,0.0494,0.0672,-0.0494,-0.0672,0.0834,-0.0231,0.1055,-0.0186,0.0852,0.9962,5.00,0
5.5776,0.0000,0.0000,0.0313,0.0134,-0.0313,-0.0134,0.0341,0.0534,0.1980,0.0227,0.0842,0.9962,5.00,0
5.7804,0.0000,0.0000,-0.0021,0.0099,0.0021,-0.0099,0.0101,0.0000,0.0000,0.0000,0.0000,1.0000,0.00,1
5.9813,0.0000,0.0000,-0.0376,0.0557,0.0376,-0.0557,0.0672,0.2917,-0.2083,0.0710,-0.0507,0.9962,5.00,0
6.1838,0.0000,0.0000,-0.0528,0.0976,0.0528,-0.0976,0.1109,0.0846,-0.2279,0.0304,-0.0817,0.9962,5.00,0
