Time_s,Target_X_m,Target_Y_m,Current_X_m,Current_Y_m,Error_X_m,Error_Y_m,Error_Dist_m,PID_Out_X,PID_Out_Y,Normal_X,Normal_Y,Normal_Z,Tilt_Angle_deg,Centered
37.4650,0.0000,0.0000,0.2803,0.0521,-0.2803,-0.0521,0.2851,-0.6611,-0.1228,-0.0857,-0.0159,0.9962,5.00,0
37.5705,0.0000,0.0000,0.2628,0.0492,-0.2628,-0.0492,0.2674,0.0056,0.0003,0.0056,0.0003,1.0000,0.32,0
37.6744,0.0000,0.0000,0.1732,0.0834,-0.1732,-0.0834,0.1922,0.1578,-0.0778,0.0782,-0.0386,0.9962,5.00,0
37.7770,0.0000,0.0000,0.1301,0.1159,-0.1301,-0.1159,0.1742,0.0684,-0.0784,0.0573,-0.0657,0.9962,5.00,0
37.8845,0.0000,0.0000,0.1270,0.1196,-0.1270,-0.1196,0.1744,-0.0121,-0.0219,-0.0121,-0.0219,0.9997,1.43,0
37.9865,0.0000,0.0000,0.1315,0.1209,-0.1315,-0.1209,0.1786,-0.0286,-0.0178,-0.0286,-0.0178,0.9994,1.93,0
38.0901,0.0000,0.0000,0.1365,0.1166,-0.1365,-0.1166,0.1795,-0.0310,-0.0070,-0.0310,-0.0070,0.9995,1.82,0
38.1955,0.0000,0.0000,0.1358,0.1176,-0.1358,-0.1176,0.1797,-0.0203,-0.0184,-0.0203,-0.0184,0.9996,1.57,0
38.2981,0.0000,0.0000,0.1176,0.1219,-0.1176,-0.1219,0.1694,0.0160,-0.0262,0.0160,-0.0262,0.9995,1.76,0
38.4003,0.0000,0.0000,0.1365,0.1085,-0.1365,-0.1085,0.1744,-0.0612,0.0100,-0.0612,0.0100,0.9981,3.56,0
38.5054,0.0000,0.0000,0.1388,0.0953,-0.1388,-0.0953,0.1684,-0.0288,0.0103,-0.0288,0.0103,0.9995,1.75,0
38.6079,0.0000,0.0000,0.1377,0.0932,-0.1377,-0.0932,0.1663,-0.0230,-0.0121,-0.0230,-0.0121,0.9997,1.49,0
38.7113,0.0000,0.0000,0.1360,0.0826,-0.1360,-0.0826,0.1591,-0.0221,0.0053,-0.0221,0.0053,0.9997,1.31,0
38.8188,0.0000,0.0000,0.1276,0.0616,-0.1276,-0.0616,0.1417,-0.0088,0.0277,-0.0088,0.0277,0.9996,1.67,0
38.9241,0.0000,0.0000,0.1256,0.0564,-0.1256,-0.0564,0.1377,-0.0222,-0.0036,-0.0222,-0.0036,0.9997,1.29,0
39.0261,0.0000,0.0000,0.1121,0.0417,-0.1121,-0.0417,0.1196,0.0015,0.0167,0.0015,0.0167,0.9999,0.96,0
39.1267,0.0000,0.0000,0.0973,0.0296,-0.0973,-0.0296,0.1017,0.0052,0.0125,0.0052,0.0125,0.9999,0.77,0
39.2273,0.0000,0.0000,0.0934,0.0274,-0.0934,-0.0274,0.0974,-0.0171,-0.0072,-0.0171,-0.0072,0.9998,1.06,0
39.3324,0.0000,0.0000,0.0771,0.0195,-0.0771,-0.0195,0.0795,0.0091,0.0049,0.0091,0.0049,0.9999,0.59,0
39.4356,0.0000,0.0000,0.0633,0.0135,-0.0633,-0.0135,0.0647,0.0049,0.0016,0.0049,0.0016,1.0000,0.29,0
39.5424,0.0000,0.0000,0.0454,0.0063,-0.0454,-0.0063,0.0458,0.0149,0.0044,0.0149,0.0044,0.9999,0.89,0
39.6481,0.0000,0.0000,0.0420,0.0040,-0.0420,-0.0040,0.0422,-0.0143,-0.0049,-0.0143,-0.0049,0.9999,0.86,0
39.7476,0.0000,0.0000,0.0252,-0.0029,-0.0252,0.0029,0.0254,0.0143,0.0050,0.0143,0.0050,0.9999,0.87,0
39.8567,0.0000,0.0000,0.0138,-0.0084,-0.0138,0.0084,0.0161,0.0044,0.0026,0.0044,0.0026,1.0000,0.29,0
39.9622,0.0000,0.0000,0.0091,-0.0121,-0.0091,0.0121,0.0152,-0.0087,-0.0004,-0.0087,-0.0004,1.0000,0.50,0
